Set (sub-set)	# in sub-set	ERGO ID	b-number	gene name	"Gerdes et al, 2003"	PEC collection	Blattner et al.	SWISS-PROT FUNCTIONAL DESCRIPTION
A2	24	REC00184	b0184	dnaE	E	E	X	DNA polymerase III alpha subunit (EC 2.7.7.7)
A2	25	REC00185	b0185	accA	E	E	X	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (EC 6.4.1.2)
A2	26	REC04367	b0194	proS	E	E	X	Prolyl-tRNA synthetase (EC 6.1.1.15)
A2	27	REC00400	b0416	nusB	E	E	X	N utilization substance protein B
A2	28	REC04462	b0420	dxs	E	E	X	1-deoxy-D-xylulose 5-phosphate synthase (EC 4.1.3.37)
A2	29	REC04463	b0421	ispA	E	E	X	Geranyltranstransferase (EC 2.5.1.10)
A2	30	REC00453	b0470	dnaX	E	E	X	DNA polymerase III subunit tau (EC 2.7.7.7)
A2	31	REC00457	b0474	adk	E	E	X	Adenylate kinase (EC 2.7.4.3)
A2	32	REC00509	b0526	cysS	E	E	X	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
A2	33	REC04561	b0634	mrdB	E	E	X	Rod shape-determining protein rodA
A2	34	REC04562	b0635	mrdA	E	E	X	Penicillin-binding protein 2
A2	35	REC04567	b0640	holA	E	E	X	"DNA polymerase III, delta subunit (EC 2.7.7.7)"
A2	36	REC04569	b0642	leuS	E	E	X	Leucyl-tRNA synthetase (EC 6.1.1.4)
A2	37	REC00654	b0680	glnS	E	E	X	Glutaminyl-tRNA synthetase (EC 6.1.1.18)
A2	38	REC00859	b0893	serS	E	E	X	Seryl-tRNA synthetase (EC 6.1.1.11)
A2	39	REC00880	b0914	msbA	E	E	X	Probable transport ATP-binding protein msbA
A2	40	REC00884	b0918	kdsB	E	E	X	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)
A2	41	REC04692	b0930	asnS	E	E	X	Asparaginyl-tRNA synthetase (EC 6.1.1.22)
A2	42	REC04700	b0954	fabA	E	E	X	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)
A2	43	REC04762	b1084	rne	E	E	X	Ribonuclease E (EC 3.1.4.-)
A2	44	REC01054	b1092	fabD	E	E	X	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
A2	45	REC01055	b1093	fabG	E	E	X	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
A2	46	REC01060	b1098	tmk	E	E	X	Thymidylate kinase (EC 2.7.4.9)
A2	47	REC01061	b1099	holB	E	E	X	"DNA polymerase III, delta' subunit (EC 2.7.7.7)"
A2	48	REC01078	b1116	lolC	E	E	X	Lipoprotein releasing system transmembrane protein lolC
A2	49	REC01079	b1117	lolD	E	E	X	Lipoprotein releasing system ATP-binding protein lolD
A2	50	REC01080	b1118	lolE	E	E	X	Lipoprotein releasing system transmembrane protein lolE
A2	51	REC04780	b1133	trmU	E	E	X	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)
A2	52	REC04817	b1207	prsA	E	E	X	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
A2	53	REC01234	b1274	topA	E	E	X	DNA topoisomerase I (EC 5.99.1.2)
A2	54	REC04856	b1288	fabI	E	E	X	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)
A2	55	REC05058	b1714	pheS	E	E	X	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
A2	56	REC05060	b1716	rplT	E	E	X	50S ribosomal protein L20
A2	57	REC05062	b1718	infC	E	E	X	Translation initiation factor IF-3
A2	58	REC01697	b1740	nadE	E	E	X	NH(3)-dependent NAD(+) synthetase (EC 6.3.5.1)
A2	59	REC05144	b1866	aspS	E	E	X	Aspartyl-tRNA synthetase (EC 6.1.1.12)
A2	60	REC01833	b1876	argS	E	E	X	Arginyl-tRNA synthetase (EC 6.1.1.19)
A2	61	REC02134	b2185	rplY	E	E	X	50S ribosomal protein L25
A2	62	REC06544	b2234	nrdA	E	E	X	Ribonucleoside-diphosphate reductase 1 alpha chain (EC 1.17.4.1)
A2	63	REC02184	b2235	nrdB	E	E	X	Ribonucleoside-diphosphate reductase 1 beta chain (EC 1.17.4.1)
A2	64	REC05416	b2323	fabB	E	E	X	3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)
A2	65	REC05459	b2400	gltX	E	E	X	Glutamyl-tRNA synthetase (EC 6.1.1.17)
A2	66	REC05464	b2411	ligA	E	E	X	DNA ligase (EC 6.5.1.2)
A2	67	REC05465	b2412	zipA	E	E	X	Cell division protein zipA
A2	68	REC05505	b2496	yfgE	E	E	X	Hypothetical protein yfgE
A2	69	REC05515	b2514	hisS	E	E	X	Histidyl-tRNA synthetase (EC 6.1.1.21)
A2	70	REC05549	b2563	acpS	E	E	X	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)
A2	71	REC05570	b2606	rplS	E	E	X	50S ribosomal protein L19
A2	72	REC05571	b2607	trmD	E	E	X	tRNA (Guanine-N(1)-)-methyltransferase (EC 2.1.1.31)
A2	73	REC05573	b2609	rpsP	E	E	X	30S ribosomal protein S16
A2	74	REC05574	b2610	ffh	E	E	X	Signal recognition particle protein
A2	75	REC05575	b2614	grpE	E	E	X	GrpE protein
A2	76	REC05792	b3018	plsC	E	E	X	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
A2	77	REC05793	b3019	parC	E	E	X	Topoisomerase IV subunit A (EC 5.99.1.-)
A2	78	REC05800	b3030	parE	E	E	X	Topoisomerase IV subunit B (EC 5.99.1.-)
A2	79	REC05806	b3041	ribB	E	E	X	"3,4-dihydroxy-2-butanone 4-phosphate synthase"
A2	80	REC02990	b3067	rpoD	E	E	X	RNA polymerase sigma factor rpoD
A2	81	REC05854	b3165	rpsO	E	E	X	30S ribosomal protein S15
A2	82	REC05867	b3183	yhbZ	E	E	X	Hypothetical GTP-binding protein yhbZ
A2	83	REC05891	b3230	rpsI	E	E	X	30S ribosomal protein S9
A2	84	REC05892	b3231	rplM	E	E	X	50S ribosomal protein L13
A2	85	REC03205	b3287	def	E	E	X	Peptide deformylase (EC 3.5.1.88)
A2	86	REC05924	b3298	rpsM	E	E	X	30S ribosomal protein S13
A2	87	REC05926	b3300	secY	E	E	X	Preprotein translocase secY subunit
A2	88	REC05927	b3301	rplO	E	E	X	50S ribosomal protein L15
A2	89	REC05929	b3303	rpsE	E	E	X	30S ribosomal protein S5
A2	90	REC05930	b3304	rplR	E	E	X	50S ribosomal protein L18
A2	91	REC05931	b3305	rplF	E	E	X	50S ribosomal protein L6
A2	92	REC05933	b3307	rpsN	E	E	X	30S ribosomal protein S14
A2	93	REC05935	b3309	rplX	E	E	X	50S ribosomal protein L24
A2	94	REC05936	b3310	rplN	E	E	X	50S ribosomal protein L14
A2	95	REC05937	b3311	rpsQ	E	E	X	30S ribosomal protein S17
A2	96	REC05942	b3316	rpsS	E	E	X	30S ribosomal protein S19
A2	97	REC05943	b3317	rplB	E	E	X	50S ribosomal protein L2
A2	98	REC05944	b3318	rplW	E	E	X	50S ribosomal protein L23
A2	99	REC05945	b3319	rplD	E	E	X	50S ribosomal protein L4
A2	100	REC05946	b3320	rplC	E	E	X	50S ribosomal protein L3
A2	101	REC05947	b3321	rpsJ	E	E	X	30S ribosomal protein S10
A2	102	REC05954	b3340	fusA	E	E	X	Elongation factor G
A2	103	REC05956	b3342	rpsL	E	E	X	30S ribosomal protein S12
A2	104	REC05979	b3384	trpS	E	E	X	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)
A2	105	REC06032	b3464	ftsY	E	E	X	Cell division protein ftsY
A2	106	REC06079	b3559	glyS	E	E	X	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
A2	107	REC03553	b3633	kdtA	E	E	X	3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)
A2	108	REC03554	b3634	coaD	E	E	X	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
A2	109	REC03560	b3640	dut	E	E	X	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)
A2	110	REC03568	b3648	gmk	E	E	X	Guanylate kinase (EC 2.7.4.8)
A2	111	REC06549	b3702	dnaA	E	E	X	Chromosomal replication initiator protein dnaA
A2	112	REC06172	b3730	glmU	E	E	X	Bifunctional glmU protein
A2	113	REC06219	b3865	engB	E	E	X	Probable GTP-binding protein engB
A2	114	REC03865	b3967	murI	E	E	X	Glutamate racemase (EC 5.1.1.3)
A2	115	REC03875	b3985	rplJ	E	E	X	50S ribosomal protein L10
A2	116	REC03876	b3986	rplL	E	E	X	50S ribosomal protein L7/L12
A2	117	REC03877	b3987	rpoB	E	E	X	DNA-directed RNA polymerase beta chain (EC 2.7.7.6)
A2	118	REC06616	b3988	rpoC	E	E	X	DNA-directed RNA polymerase beta' chain (EC 2.7.7.6)
A2	119	REC03938	b4052	dnaB	E	E	X	Replicative DNA helicase (EC 3.6.1.-)
A2	120	REC04028	b4142	groS	E	E	X	10 kDa chaperonin
A2	121	REC04029	b4143	groL	E	E	X	60 kDa chaperonin
A2	122	REC04033	b4147	efp	E	E	X	Elongation factor P
A2	123	REC04083	b4200	rpsF	E	E	X	30S ribosomal protein S6
A2	124	REC06383	b4226	ppa	E	E	X	Inorganic pyrophosphatase (EC 3.6.1.1)
A2	125	REC06399	b4258	valS	E	E	X	Valyl-tRNA synthetase (EC 6.1.1.9)
A2	126	REC06463	b4361	dnaC	E	E	X	DNA replication protein dnaC
A2	127	REC06464	b4362	dnaT	E	E	X	Primosomal protein I
"Set B: genes essential in Gerdes et al., 2002 but non-essential in PEC data (viable gene knockouts from UW data are shownin the sub-set B1)"								
B1	1	REC04363	b0167	glnD	E	N	N	[Protein-PII] uridylyltransferase (EC 2.7.7.59)
B1	2	REC00209	b0215	dnaQ	E	N	N	"DNA polymerase III, epsilon chain (EC 2.7.7.7)"
B1	3	REC00261	b0270	yagG	E	N	N	Hypothetical symporter yagG
B1	4	REC04411	b0285	yagS	E	N	N	"Putative xanthine dehydrogenase yagS, FAD binding subunit (EC 1.1.1.204)"
B1	5	REC00304	b0320	yahF	E	N	N	Hypothetical protein yahF
B1	6	REC04469	b0429	cyoD	E	N	N	Cytochrome O ubiquinol oxidase protein cyoD
B1	7	REC00452	b0469	apt	E	N	N	Adenine phosphoribosyltransferase (EC 2.4.2.7)
B1	8	REC04537	b0592	fepB	E	N	N	Ferrienterobactin-binding periplasmic protein precursor
B1	9	REC04574	b0652	gltL	E	N	N	Glutamate/aspartate transport ATP-binding protein gltL
B1	10	REC00707	b0733	cydA	E	N	N	Cytochrome D ubiquinol oxidase subunit I (EC 1.10.3.-)
B1	11	REC04641	b0810	glnP	E	N	N	Glutamine transport system permease protein glnP
B1	12	REC00890	b0924	mukB	E	N	N	Cell division protein mukB
B1	13	REC00937	b0972	hyaA	E	N	N	Hydrogenase-1 small chain precursor (EC 1.18.99.1)
B1	14	REC00939	b0974	hyaC	E	N	N	Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit
B1	15	REC00940	b0975	hyaD	E	N	N	Hydrogenase 1 maturation protease (EC 3.4.24.-)
B1	16	REC04771	b1123	potD	E	N	N	Spermidine/putrescine-binding periplasmic protein precursor
B1	17	REC04827	b1237	hns	E	N	N	DNA-binding protein H-NS
B1	18	REC01206	b1246	oppD	E	N	N	Oligopeptide transport ATP-binding protein oppD
B1	19	REC01241	b1281	pyrF	E	N	N	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)
B1	20	REC01266	b1306	pspC	E	N	N	Phage shock protein C
B1	21	REC01268	b1308	pspE	E	N	N	Phage shock protein E precursor
B1	22	REC01381	b1421	trg	E	N	N	Methyl-accepting chemotaxis protein III
B1	23	REC01387	b1427	rimL	E	N	N	Ribosomal-protein-serine acetyltransferase (EC 2.3.1.-)
B1	24	REC01491	b1531	marA	E	N	N	Multiple antibiotic resistance protein marA
B1	25	REC01494	b1534	ydeE	E	N	N	Hypothetical protein ydeE
B1	26	REC04991	b1563	relE	E	N	N	Hypothetical relE protein
B1	27	REC01568	b1609	rstB	E	N	N	Sensor protein rstB (EC 2.7.3.-)
B1	28	REC01569	b1610	tus	E	N	N	DNA replication terminus site-binding protein
B1	29	REC05013	b1618	uidR	E	N	N	Uid operon repressor
B1	30	REC05049	b1702	ppsA	E	N	N	Phosphoenolpyruvate synthase (EC 2.7.9.2)
B1	31	REC01661	b1704	aroH	E	N	N	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 4.1.2.15)"
B1	32	REC05073	b1738	celA	E	N	N	"PTS system, cellobiose-specific IIB component (EC 2.7.1.69)"
B1	33	REC05086	b1764	selD	E	N	N	"Selenide,water dikinase (EC 2.7.9.3)"
B1	34	REC05141	b1863	ruvC	E	N	N	Crossover junction endodeoxyribonuclease ruvC (EC 3.1.22.4)
B1	35	REC05155	b1884	cheR	E	N	N	Chemotaxis protein methyltransferase (EC 2.1.1.80)
B1	36	REC05158	b1887	cheW	E	N	N	Chemotaxis protein cheW
B1	37	REC05161	b1890	motA	E	N	N	Chemotaxis motA protein
B1	38	REC05170	b1900	araG	E	N	N	L-arabinose transport ATP-binding protein araG
B1	39	REC05171	b1901	araF	E	N	N	L-arabinose-binding periplasmic protein precursor
B1	40	REC05237	b2042	galF	E	N	N	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
B1	41	REC05271	b2091	gatD	E	N	N	Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)
B1	42	REC02062	b2114	metG	E	N	N	Methionyl-tRNA synthetase (EC 6.1.1.10)
B1	43	REC05306	b2150	mglB	E	N	N	D-galactose-binding periplasmic protein precursor
B1	44	REC05407	b2313	cvpA	E	N	N	Colicin V production protein
B1	45	REC05468	b2423	cysW	E	N	N	Sulfate transport system permease protein cysW
B1	46	REC02419	b2479	gcvR	E	N	N	Glycine cleavage system transcriptional repressor
B1	47	REC05519	b2518	ndk	E	N	N	Nucleoside diphosphate kinase (EC 2.7.4.6)
B1	48	REC05553	b2567	rnc	E	N	N	Ribonuclease III (EC 3.1.26.3)
B1	49	REC05610	b2717	hycI	E	N	N	Hydrogenase 3 maturation protease (EC 3.4.-.-)
B1	50	REC05613	b2720	hycF	E	N	N	Formate hydrogenlyase subunit 6
B1	51	REC05734	b2926	pgk	E	N	N	Phosphoglycerate kinase (EC 2.7.2.3)
B1	52	REC06542	b2935	tktA	E	N	N	Transketolase 1 (EC 2.2.1.1)
B1	53	REC05776	b2993	hybD	E	N	N	Hydrogenase 2 maturation protease (EC 3.4.24.-)
B1	54	REC03044	b3119	tdcR	E	N	N	Threonine dehydratase operon activator protein
B1	55	REC05853	b3164	pnp	E	N	N	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)
B1	56	REC03157	b3234	degQ	E	N	N	Protease degQ precursor (EC 3.4.21.-)
B1	57	REC05981	b3386	rpe	E	N	N	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
B1	58	REC03419	b3500	gor	E	N	N	Glutathione reductase (EC 1.6.4.2)
B1	59	REC06097	b3607	cysE	E	N	N	Serine acetyltransferase (EC 2.3.1.30)
B1	60	REC06550	b3706	trmE	E	N	N	Probable tRNA modification GTPase trmE
B1	61	REC06173	b3731	atpC	E	N	N	ATP synthase epsilon chain (EC 3.6.3.14)
B1	62	REC06178	b3736	atpF	E	N	N	ATP synthase B chain (EC 3.6.3.14)
B1	63	REC03688	b3778	rep	E	N	N	ATP-dependent DNA helicase rep (EC 3.6.1.-)
B1	64	REC06581	b3816	corA	E	N	N	Magnesium and cobalt transport protein corA
B1	65	REC03940	b4054	tyrB	E	N	N	Aromatic-amino-acid aminotransferase (EC 2.6.1.57)
B1	66	REC06360	b4151	frdD	E	N	N	Fumarate reductase 13 kDa hydrophobic protein
B1	67	REC04308	b0058	rluA	E	N	N	Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)
B1	68	REC00710	b0736	ybgC	E	N	N	Protein ybgC
B1	69	REC04633	b0798	ybiA	E	N	N	Hypothetical protein ybiA
B1	70	REC04799	b1175	minD	E	N	N	Septum site-determining protein minD
B1	71	REC04835	b1253	yciA	E	N	N	Putative acyl-CoA thioester hydrolase yciA (EC 3.1.2.-)
B1	72	REC04928	b1477	yddM	E	N	N	Hypothetical protein yddM
B1	73	REC05054	b1710	btuE	E	N	N	Vitamin B12 transport periplasmic protein btuE
B1	74	REC01710	b1753	ynjA	E	N	N	Hypothetical protein ynjA
B1	75	REC05135	b1852	zwf	E	N	N	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
B1	76	REC05195	b1961	dcm	E	N	N	DNA-cytosine methyltransferase (EC 2.1.1.73)
B1	77	REC05330	b2197	ccmE	E	N	N	Cytochrome c-type biogenesis protein ccmE
B1	78	REC05405	b2311	ubiX	E	N	N	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)
B1	79	REC05541	b2551	glyA	E	N	N	Serine hydroxymethyltransferase (EC 2.1.2.1)
B1	80	REC05567	b2594	rluD	E	N	N	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
B1	81	REC05683	b2827	thyA	E	N	N	Thymidylate synthase (EC 2.1.1.45)
B1	82	REC05723	b2907	ubiH	E	N	N	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)
B1	83	REC05750	b2957	ansB	E	N	N	L-asparaginase II precursor (EC 3.5.1.1)
B1	84	REC05773	b2990	hybG	E	N	N	Hydrogenase-2 operon protein hybG
B1	85	REC03125	b3202	rpoN	E	N	N	RNA polymerase sigma-54 factor
B1	86	REC03127	b3204	ptsN	E	N	N	Nitrogen regulatory IIA protein (EC 2.7.1.69)
B1	87	REC03160	b3237	argR	E	N	N	Arginine repressor
B1	88	REC03760	b3860	dsbA	E	N	N	Thiol:disulfide interchange protein dsbA precursor
B1	89	REC06240	b3902	rhaD	E	N	N	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)
B1	90	REC03856	b3958	argC	E	N	N	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)
B1	91	REC03916	b4030	yjbA	E	N	N	Hypothetical protein yjbA

B2	1	REC04745	b1051	msyB	E	N	X	Acidic protein msyB
B2	2	REC05143	b1865	nudB	E	N	X	dATP pyrophosphohydrolase (EC 3.6.1.-)
B2	3	REC06532	b4373	rimI	E	N	X	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128)
B2	4	REC00009	b0009	mog	E	N	X	Molybdopterin biosynthesis mog protein
B2	5	REC00014	b0014	dnaK	E	N	X	Chaperone protein dnaK
B2	6	REC04295	b0023	rpsT	E	N	X	30S ribosomal protein S20
B2	7	REC00025	b0025	ribF	E	N	X	Riboflavin biosynthesis protein ribF
B2	8	REC00031	b0031	dapB	E	N	X	Dihydrodipicolinate reductase (EC 1.3.1.26)
B2	9	REC00048	b0048	folA	E	N	X	Dihydrofolate reductase (EC 1.5.1.3)
B2	10	REC00092	b0092	ddlB	E	N	X	D-alanine--D-alanine ligase B (EC 6.3.2.4)
B2	11	REC00115	b0115	aceF	E	N	X	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
B2	12	REC00116	b0116	lpdA	E	N	X	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)
B2	13	REC00129	b0129	yadI	E	N	X	Putative PTS system IIA component yadI (EC 2.7.1.69)
B2	14	REC04349	b0142	folK	E	N	X	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)
B2	15	REC04355	b0154	hemL	E	N	X	"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)"
B2	16	REC04358	b0159	mtn	E	N	X	MTA/SAH nucleosidase
B2	17	REC04362	b0166	dapD	E	N	X	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase (EC 2.3.1.117)"
B2	18	REC00173	b0173	dxr	E	N	X	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
B2	19	REC00183	b0183	rnhB	E	N	X	Ribonuclease HII (EC 3.1.26.4)
B2	20	REC04376	b0214	rnhA	E	N	X	Ribonuclease HI (EC 3.1.26.4)
B2	21	REC04399	b0265		E	N	X	Insertion element IS1 1/2/3/5/6 protein insA
B2	22	REC00262	b0271	yagH	E	N	X	Putative beta-xylosidase (EC 3.2.1.37)
B2	23	REC04413	b0289	yagV	E	N	X	Hypothetical protein yagV precursor
B2	24	REC00306	b0322	yahH	E	N	X	Hypothetical protein yahH
B2	25	REC00324	b0340	cynS	E	N	X	Cyanate hydratase (EC 4.2.1.104)
B2	26	REC04446	b0369	hemB	E	N	X	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)
B2	27	REC04453	b0386	proC	E	N	X	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
B2	28	REC00392	b0408	secD	E	N	X	Protein-export membrane protein secD
B2	29	REC00393	b0409	secF	E	N	X	Protein-export membrane protein secF
B2	30	REC00398	b0414	ribD	E	N	X	Riboflavin biosynthesis protein ribD
B2	31	REC00399	b0415	ribH	E	N	X	"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)"
B2	32	REC00402	b0418	pgpA	E	N	X	Phosphatidylglycerophosphatase A (EC 3.1.3.27)
B2	33	REC04487	b0467	priC	E	N	X	"Primosomal replication protein N"""
B2	34	REC00458	b0475	hemH	E	N	X	Ferrochelatase (EC 4.99.1.1)
B2	35	REC00488	b0505	allA	E	N	X	Ureidoglycolate hydrolase (EC 3.5.3.19)
B2	36	REC04508	b0525	ppiB	E	N	X	Peptidyl-prolyl cis-trans isomerase B (EC 5.2.1.8)
B2	37	REC00532	b0550	rusA	E	N	X	Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)
B2	38	REC00545	b0564	appY	E	N	X	AppY protein
B2	39	REC04568	b0641	rlpB	E	N	X	Rare lipoprotein B precursor
B2	40	REC04575	b0653	gltK	E	N	X	Glutamate/aspartate transport system permease protein gltK
B2	41	REC00661	b0687	seqA	E	N	X	SeqA protein
B2	42	REC00676	b0702	ybfB	E	N	X	Hypothetical protein ybfB
B2	43	REC00678	b0704	ybfC	E	N	X	Hypothetical protein ybfC precursor
B2	44	REC00682	b0708	phrB	E	N	X	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)
B2	45	REC04605	b0717	ybgP	E	N	X	Hypothetical fimbrial chaperone ybgP precursor
B2	46	REC00700	b0726	sucA	E	N	X	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)
B2	47	REC00701	b0727	sucB	E	N	X	Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)
B2	48	REC00708	b0734	cydB	E	N	X	Cytochrome D ubiquinol oxidase subunit II (EC 1.10.3.-)
B2	49	REC04619	b0766	ybhA	E	N	X	Hypothetical protein ybhA
B2	50	REC04625	b0788	ybhN	E	N	X	Hypothetical protein ybhN
B2	51	REC00758	b0791	ybhQ	E	N	X	Hypothetical protein ybhQ
B2	52	REC04653	b0835	yliG	E	N	X	Hypothetical protein yliG
B2	53	REC04680	b0886	cydC	E	N	X	Transport ATP-binding protein cydC
B2	54	REC04681	b0887	cydD	E	N	X	Transport ATP-binding protein cydD
B2	55	REC00888	b0922	mukF	E	N	X	MukF protein
B2	56	REC00889	b0923	mukE	E	N	X	MukE protein
B2	57	REC00953	b0988	insB4	E	N	X	Insertion element IS1 4 protein insB
